fc_dim: 64, eps_dec: 2e-05, lr: 0.00047, avg_score: -143.24, done: False, time: 19.02, episodes: 38
fc_dim: 64, eps_dec: 2e-05, lr: 0.00048, avg_score: -163.47, done: False, time: 28.21, episodes: 58
fc_dim: 64, eps_dec: 2e-05, lr: 0.00049, avg_score: -43.99, done: False, time: 194.41, episodes: 283
fc_dim: 64, eps_dec: 2e-05, lr: 0.00050, avg_score: -97.24, done: False, time: 111.75, episodes: 205
fc_dim: 64, eps_dec: 2e-05, lr: 0.00051, avg_score: -53.67, done: False, time: 214.13, episodes: 312
fc_dim: 64, eps_dec: 2e-05, lr: 0.00052, avg_score: -74.23, done: False, time: 184.29, episodes: 272
fc_dim: 64, eps_dec: 2e-05, lr: 0.00053, avg_score: -139.32, done: False, time: 52.42, episodes: 94
fc_dim: 64, eps_dec: 2e-05, lr: 0.00054, avg_score: -66.41, done: False, time: 178.84, episodes: 244
fc_dim: 64, eps_dec: 2e-05, lr: 0.00055, avg_score: -78.75, done: False, time: 148.68, episodes: 222
fc_dim: 64, eps_dec: 2e-05, lr: 0.00056, avg_score: -89.64, done: False, time: 149.38, episodes: 219
fc_dim: 64, eps_dec: 2e-05, lr: 0.00057, avg_score: -92.62, done: False, time: 139.52, episodes: 200
fc_dim: 64, eps_dec: 2e-05, lr: 0.00058, avg_score: -192.88, done: False, time: 6.21, episodes: 4
fc_dim: 64, eps_dec: 2e-05, lr: 0.00059, avg_score: -64.01, done: False, time: 137.45, episodes: 250
fc_dim: 64, eps_dec: 2e-05, lr: 0.00060, avg_score: -159.39, done: False, time: 29.33, episodes: 51
fc_dim: 64, eps_dec: 2e-05, lr: 0.00061, avg_score: -84.61, done: False, time: 149.77, episodes: 240
fc_dim: 64, eps_dec: 2e-05, lr: 0.00062, avg_score: -81.38, done: False, time: 158.51, episodes: 238
fc_dim: 64, eps_dec: 2e-05, lr: 0.00063, avg_score: -105.01, done: False, time: 84.57, episodes: 175
fc_dim: 64, eps_dec: 2e-05, lr: 0.00064, avg_score: -104.51, done: False, time: 105.27, episodes: 210
fc_dim: 64, eps_dec: 2e-05, lr: 0.00065, avg_score: -80.28, done: False, time: 143.18, episodes: 230
fc_dim: 64, eps_dec: 2e-05, lr: 0.00066, avg_score: -62.21, done: False, time: 170.82, episodes: 265
fc_dim: 64, eps_dec: 2e-05, lr: 0.00067, avg_score: -74.26, done: False, time: 159.94, episodes: 264
fc_dim: 64, eps_dec: 2e-05, lr: 0.00068, avg_score: -82.31, done: False, time: 105.41, episodes: 198
fc_dim: 64, eps_dec: 2e-05, lr: 0.00069, avg_score: -82.58, done: False, time: 133.97, episodes: 231
fc_dim: 64, eps_dec: 2e-05, lr: 0.00070, avg_score: -71.58, done: False, time: 130.44, episodes: 236
fc_dim: 64, eps_dec: 2e-05, lr: 0.00071, avg_score: -45.40, done: False, time: 300.11, episodes: 376
fc_dim: 64, eps_dec: 2e-05, lr: 0.00072, avg_score: -111.35, done: False, time: 116.71, episodes: 225
fc_dim: 64, eps_dec: 2e-05, lr: 0.00073, avg_score: -56.67, done: False, time: 161.18, episodes: 258
fc_dim: 64, eps_dec: 2e-05, lr: 0.00074, avg_score: -80.09, done: False, time: 105.07, episodes: 209
fc_dim: 64, eps_dec: 2e-05, lr: 0.00075, avg_score: -65.47, done: False, time: 134.98, episodes: 241
fc_dim: 64, eps_dec: 2e-05, lr: 0.00076, avg_score: -174.62, done: False, time: 31.49, episodes: 68
fc_dim: 64, eps_dec: 2e-05, lr: 0.00077, avg_score: -79.46, done: False, time: 120.43, episodes: 237
fc_dim: 64, eps_dec: 2e-05, lr: 0.00078, avg_score: -147.42, done: False, time: 5.66, episodes: 2
fc_dim: 64, eps_dec: 2e-05, lr: 0.00079, avg_score: -98.58, done: False, time: 68.40, episodes: 151
fc_dim: 64, eps_dec: 2e-05, lr: 0.00080, avg_score: -66.44, done: False, time: 144.71, episodes: 259
fc_dim: 64, eps_dec: 2e-05, lr: 0.00081, avg_score: -66.63, done: False, time: 186.40, episodes: 273
fc_dim: 64, eps_dec: 2e-05, lr: 0.00082, avg_score: -58.68, done: False, time: 185.39, episodes: 301
fc_dim: 64, eps_dec: 2e-05, lr: 0.00083, avg_score: -82.74, done: False, time: 117.16, episodes: 221
fc_dim: 64, eps_dec: 2e-05, lr: 0.00084, avg_score: -142.18, done: False, time: 31.72, episodes: 64
fc_dim: 64, eps_dec: 2e-05, lr: 0.00085, avg_score: -72.77, done: False, time: 123.82, episodes: 233
fc_dim: 64, eps_dec: 2e-05, lr: 0.00086, avg_score: -47.60, done: False, time: 155.29, episodes: 272
fc_dim: 64, eps_dec: 2e-05, lr: 0.00087, avg_score: -56.79, done: False, time: 138.99, episodes: 253
fc_dim: 64, eps_dec: 2e-05, lr: 0.00088, avg_score: -132.49, done: False, time: 43.59, episodes: 99
fc_dim: 64, eps_dec: 2e-05, lr: 0.00089, avg_score: -91.75, done: False, time: 96.56, episodes: 197
